VCF0004,VCF0009z,VCF0101,VCF0104,VCF0105a,VCF0112,VCF0114,VCF0115,VCF0116,VCF0140,VCF0147,VCF0707
1992,1.0,3,1,1,1,3.0,3.0,5,2,1,0
1992,1.0,2,2,1,1,4.0,1.0,1,6,5,0
1992,1.0,1,1,1,1,3.0,2.0,1,5,1,2
1992,1.0,2,1,1,1,4.0,3.0,1,3,1,0
1992,1.0,1,2,5,2,3.0,0.0,8,3,2,1
1992,1.0,2,1,1,2,4.0,1.0,5,5,1,0
1992,1.0,2,2,1,2,1.0,2.0,6,3,5,0
1992,1.0,2,2,1,4,4.0,2.0,1,3,1,1
1992,1.0,2,2,5,3,4.0,1.0,5,6,1,1
1992,1.0,1,2,1,4,3.0,2.0,1,3,7,0
1992,1.0,2,2,5,4,1.0,3.0,4,2,3,0
1992,1.0,1,1,1,2,2.0,3.0,1,3,1,0
1992,1.0,2,2,5,4,2.0,3.0,1,1,1,0
1992,1.0,2,2,1,3,4.0,2.0,1,3,1,2
1992,1.0,3,2,1,2,2.0,1.0,5,6,5,1
1992,1.0,3,2,1,2,0.0,3.0,5,1,5,0
1992,1.0,3,1,1,2,3.0,1.0,5,6,1,2
1992,1.0,3,2,1,3,2.0,3.0,5,1,1,1
1992,1.0,1,2,1,3,3.0,3.0,1,5,2,0
1992,1.0,1,1,1,3,3.0,0.0,1,6,2,2
1992,1.0,2,1,1,2,2.0,3.0,1,2,1,0
1992,1.0,2,1,1,2,0.0,4.0,1,3,1,1
1992,1.0,1,2,2,3,3.0,3.0,1,3,3,0
1992,1.0,3,2,1,3,2.0,1.0,5,5,5,0
1992,1.0,3,2,2,3,0.0,3.0,5,1,1,2
1992,1.0,2,1,3,3,4.0,1.0,1,6,1,1
1992,1.0,3,2,1,3,4.0,6.0,7,5,1,2
1992,1.0,1,2,1,1,4.0,3.0,1,3,1,1
1992,1.0,1,2,2,3,0.0,6.0,7,0,5,0
1992,1.0,2,2,1,3,3.0,2.0,1,5,1,1
1992,1.0,2,1,1,3,3.0,3.0,1,5,1,1
1992,1.0,2,2,1,3,4.0,6.0,7,6,1,2
1992,1.0,3,1,1,3,5.0,2.0,1,6,1,2
1992,1.0,2,1,1,4,2.0,2.0,1,5,3,1
1992,1.0,1,2,1,4,3.0,1.0,1,5,1,0
1992,1.0,1,2,1,4,3.0,2.0,1,3,2,1
1992,1.0,2,1,1,1,3.0,3.0,2,1,1,0
1992,1.0,2,1,1,1,4.0,3.0,1,5,1,1
1992,1.0,2,1,1,1,4.0,3.0,1,5,1,2
1992,1.0,2,2,1,3,1.0,3.0,1,1,5,0
1992,1.0,1,1,1,3,2.0,3.0,1,5,2,2
1992,1.0,3,2,1,1,1.0,2.0,5,2,5,2
1992,1.0,2,1,2,3,1.0,4.0,1,3,2,0
1992,1.0,2,1,1,3,5.0,1.0,1,6,1,2
1992,1.0,2,1,3,2,3.0,1.0,1,6,1,2
1992,1.0,3,1,1,2,2.0,2.0,5,5,1,1
1992,1.0,2,1,1,3,3.0,2.0,1,5,1,1
1992,1.0,1,2,1,3,4.0,3.0,1,3,1,2
1992,1.0,2,1,1,2,2.0,3.0,6,2,2,0
1992,1.0,1,1,1,2,3.0,2.0,1,2,2,0
1992,1.0,2,1,1,2,3.0,1.0,1,6,1,0
1992,1.0,1,2,5,3,0.0,1.0,1,6,1,2
1992,1.0,3,2,1,3,4.0,6.0,7,5,1,2
1992,1.0,2,2,1,2,1.0,0.0,0,3,7,1
1992,1.0,2,2,5,4,0.0,1.0,1,5,1,0
1992,1.0,1,1,5,4,1.0,1.0,1,6,1,0
1992,1.0,1,2,1,4,4.0,3.0,1,5,1,0
1992,1.0,1,2,2,3,1.0,6.0,7,3,2,0
1992,1.0,3,2,2,1,2.0,3.0,5,3,3,1
1992,1.0,3,2,1,2,3.0,3.0,1,1,1,2
1992,1.0,3,2,1,2,3.0,3.0,5,1,1,0
1992,1.0,2,1,1,2,4.0,1.0,1,6,1,0
1992,1.0,1,1,5,1,3.0,2.0,1,5,1,1
1992,1.0,1,1,1,3,2.0,3.0,1,3,2,0
1992,1.0,3,2,1,4,2.0,2.0,5,5,5,1
1992,1.0,1,1,4,4,3.0,3.0,1,5,7,1
1992,1.0,2,1,1,4,3.0,2.0,1,6,1,2
1992,1.0,1,1,1,3,3.0,1.0,1,6,1,2
1992,1.0,2,2,1,3,4.0,1.0,1,6,3,2
1992,1.0,2,2,2,3,1.0,3.0,6,3,2,0
1992,1.0,1,2,1,2,1.0,3.0,1,3,2,1
1992,1.0,3,2,1,2,2.0,2.0,5,5,1,1
1992,1.0,2,2,1,3,1.0,0.0,8,5,3,1
1992,1.0,1,2,2,3,1.0,2.0,1,3,2,0
1992,1.0,2,1,1,2,3.0,3.0,1,2,3,0
1992,1.0,2,1,1,3,4.0,1.0,1,6,3,0
1992,1.0,2,1,1,3,4.0,3.0,1,6,1,2
1992,1.0,1,1,2,3,4.0,2.0,1,5,7,1
1992,1.0,1,2,1,3,3.0,1.0,4,3,1,0
1992,1.0,2,2,1,3,3.0,3.0,1,2,1,0
1992,1.0,2,2,1,1,5.0,2.0,1,3,7,1
1992,1.0,1,1,1,1,3.0,2.0,1,3,7,0
1992,1.0,2,1,1,1,0.0,3.0,1,0,1,2
1992,1.0,3,2,1,1,1.0,1.0,5,6,5,1
1992,1.0,1,1,2,2,3.0,3.0,1,6,3,1
1992,1.0,2,1,1,1,1.0,3.0,6,0,3,0
1992,1.0,2,1,1,2,4.0,3.0,1,3,1,1
1992,1.0,3,2,1,2,0.0,1.0,5,6,2,0
1992,1.0,2,1,1,2,4.0,2.0,5,5,1,2
1992,1.0,1,2,5,3,1.0,0.0,4,2,2,0
1992,1.0,3,2,2,3,1.0,3.0,5,1,5,0
1992,1.0,2,2,5,3,2.0,3.0,1,1,1,1
1992,1.0,2,2,3,3,4.0,3.0,1,6,1,2
1992,1.0,3,2,1,3,2.0,3.0,5,1,1,2
1992,1.0,1,1,1,4,2.0,3.0,1,3,7,0
1992,1.0,3,2,1,4,2.0,2.0,5,0,5,0
1992,1.0,2,2,5,4,1.0,0.0,4,2,4,0
1992,1.0,1,2,1,4,0.0,3.0,1,0,1,0
1992,1.0,2,1,0,2,0.0,3.0,1,0,0,0
1992,1.0,3,2,0,2,0.0,0.0,0,0,5,0
1992,1.0,2,1,2,3,3.0,0.0,1,5,1,1
1992,1.0,1,1,1,3,3.0,4.0,1,3,1,0
1992,1.0,1,2,5,1,1.0,2.0,1,5,2,1
1992,1.0,1,1,2,1,3.0,2.0,1,6,7,0
1992,1.0,1,1,2,1,3.0,2.0,1,5,2,0
1992,1.0,2,1,1,1,4.0,1.0,1,6,2,2
1992,1.0,2,1,5,2,4.0,3.0,1,5,7,0
1992,1.0,2,2,1,1,4.0,6.0,7,5,1,0
1992,1.0,2,1,1,1,4.0,2.0,1,5,1,0
1992,1.0,1,1,1,2,3.0,3.0,1,3,1,0
1992,1.0,1,1,1,2,4.0,3.0,1,2,1,0
1992,1.0,1,1,1,2,2.0,2.0,1,3,2,1
1992,1.0,2,2,1,2,3.0,6.0,7,3,1,2
1992,1.0,3,2,1,2,2.0,3.0,5,3,5,0
1992,1.0,2,2,1,2,1.0,3.0,6,3,3,0
1992,1.0,3,1,1,2,2.0,1.0,5,6,5,2
1992,1.0,1,1,1,2,3.0,3.0,1,5,3,2
1992,1.0,2,1,1,2,4.0,3.0,1,3,1,1
1992,1.0,2,1,1,2,4.0,3.0,1,5,1,1
1992,1.0,1,1,1,2,3.0,3.0,1,5,1,2
1992,1.0,2,2,1,3,4.0,2.0,1,3,1,0
1992,1.0,1,1,1,3,0.0,2.0,1,2,2,0
1992,1.0,2,2,1,4,5.0,6.0,7,6,1,1
1992,1.0,1,1,0,4,4.0,3.0,1,0,0,0
1992,1.0,2,2,5,4,4.0,1.0,1,6,1,0
1992,1.0,1,1,1,4,3.0,3.0,1,0,1,1
1992,1.0,1,1,1,4,4.0,2.0,1,0,1,2
1992,1.0,2,2,1,1,3.0,2.0,1,2,1,2
1992,1.0,2,2,1,2,3.0,3.0,6,3,1,1
1992,1.0,2,2,1,2,2.0,3.0,1,2,3,1
1992,1.0,1,2,1,2,3.0,6.0,7,3,1,0
1992,1.0,1,1,1,2,3.0,3.0,1,3,3,1
1992,1.0,1,2,1,2,3.0,3.0,1,3,1,0
1992,1.0,1,2,1,2,3.0,3.0,1,3,1,1
1992,1.0,1,1,1,3,1.0,0.0,8,5,2,0
1992,1.0,1,2,1,3,1.0,0.0,8,5,2,2
1992,1.0,1,1,1,3,1.0,0.0,8,5,2,0
1992,1.0,1,2,1,3,4.0,2.0,1,3,1,2
1992,1.0,2,1,1,3,4.0,3.0,1,0,1,0
1992,1.0,3,2,2,3,0.0,3.0,5,1,5,1
1992,1.0,3,2,2,3,2.0,6.0,7,3,1,1
1992,1.0,3,2,1,4,2.0,6.0,7,1,5,1
1992,1.0,2,2,1,3,3.0,1.0,1,6,2,1
1992,1.0,2,1,1,3,3.0,3.0,1,2,1,0
1992,1.0,1,1,1,3,2.0,2.0,1,6,1,1
1992,1.0,2,1,1,2,4.0,3.0,1,2,1,1
1992,1.0,1,2,1,2,1.0,3.0,2,2,4,0
1992,1.0,2,1,1,2,4.0,1.0,1,6,3,0
1992,1.0,2,2,1,3,1.0,3.0,4,2,3,0
1992,1.0,2,1,1,2,3.0,3.0,1,3,1,2
1992,1.0,1,2,1,2,1.0,3.0,1,5,3,2
1992,1.0,2,2,1,4,4.0,6.0,7,2,1,0
1992,1.0,1,2,1,4,5.0,2.0,4,5,1,2
1992,1.0,3,2,1,3,0.0,3.0,5,1,5,0
1992,1.0,2,1,1,2,4.0,1.0,1,6,1,2
1992,1.0,2,2,1,3,3.0,2.0,1,3,1,2
1992,1.0,3,1,1,3,2.0,3.0,5,3,1,2
1992,1.0,1,1,2,3,3.0,1.0,1,6,2,2
1992,1.0,3,1,1,4,2.0,3.0,1,3,5,2
1992,1.0,3,2,1,4,3.0,3.0,5,2,5,2
1992,1.0,1,1,1,4,4.0,5.0,1,6,7,2
1992,1.0,1,1,1,3,2.0,0.0,1,5,2,0
1992,1.0,2,2,1,3,4.0,2.0,5,3,1,1
1992,1.0,3,2,1,3,1.0,1.0,5,3,2,1
1992,1.0,1,1,1,3,4.0,1.0,1,6,7,0
1992,1.0,2,2,2,1,3.0,2.0,6,5,1,0
1992,1.0,1,1,1,3,3.0,3.0,1,2,1,0
1992,1.0,1,2,2,2,0.0,0.0,8,5,2,0
1992,1.0,3,2,1,1,4.0,2.0,1,3,1,1
1992,1.0,3,2,1,1,5.0,2.0,1,6,1,2
1992,1.0,1,1,1,3,3.0,2.0,1,0,1,0
1992,1.0,2,1,1,3,2.0,1.0,5,5,2,0
1992,1.0,2,1,1,1,4.0,1.0,1,5,1,0
1992,1.0,1,2,1,3,2.0,2.0,1,5,2,1
1992,1.0,1,1,2,3,3.0,2.0,4,3,1,1
1992,1.0,2,2,1,4,3.0,6.0,7,5,1,1
1992,1.0,1,1,1,3,2.0,3.0,1,3,2,2
1992,1.0,1,1,1,3,3.0,1.0,1,6,2,2
1992,1.0,2,2,1,3,3.0,1.0,1,6,1,2
1992,1.0,1,2,2,3,1.0,0.0,8,5,1,0
1992,1.0,2,1,2,1,3.0,3.0,1,6,1,1
1992,1.0,2,2,1,4,5.0,1.0,1,6,1,0
1992,1.0,1,1,1,4,0.0,5.0,1,2,2,0
1992,1.0,3,2,1,4,4.0,1.0,5,6,1,1
1992,1.0,2,2,1,4,3.0,1.0,1,6,4,0
1992,1.0,3,2,1,4,2.0,6.0,7,3,1,1
1992,1.0,2,1,1,3,2.0,3.0,1,2,1,0
1992,1.0,3,1,1,2,4.0,0.0,5,0,1,1
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,1
1992,1.0,2,1,1,3,0.0,1.0,1,6,2,1
1992,1.0,2,1,3,4,2.0,5.0,1,5,4,2
1992,1.0,2,1,1,4,3.0,1.0,1,6,2,1
1992,1.0,1,1,5,4,2.0,3.0,1,3,4,1
1992,1.0,1,2,1,2,3.0,3.0,1,3,1,1
1992,1.0,1,1,1,2,2.0,3.0,1,2,1,0
1992,1.0,2,2,1,4,4.0,2.0,1,3,1,0
1992,1.0,1,2,1,2,3.0,3.0,1,6,2,2
1992,1.0,1,2,1,4,4.0,2.0,1,3,4,0
1992,1.0,1,2,5,4,4.0,0.0,8,5,1,1
1992,1.0,2,2,1,1,0.0,6.0,7,3,1,0
1992,1.0,2,2,1,2,0.0,1.0,1,5,1,0
1992,1.0,1,1,1,2,0.0,3.0,1,5,2,0
1992,1.0,3,1,1,2,1.0,3.0,5,1,1,1
1992,1.0,3,1,1,2,1.0,3.0,5,1,1,1
1992,1.0,2,2,1,3,3.0,1.0,1,6,2,1
1992,1.0,2,2,1,3,1.0,0.0,6,1,5,0
1992,1.0,1,2,1,3,3.0,1.0,4,3,1,0
1992,1.0,2,1,1,3,1.0,3.0,1,5,2,0
1992,1.0,3,1,1,2,3.0,3.0,5,3,5,2
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,1
1992,1.0,1,2,1,3,1.0,2.0,1,6,2,0
1992,1.0,1,2,1,4,4.0,6.0,7,5,1,2
1992,1.0,1,2,1,3,4.0,2.0,1,5,1,1
1992,1.0,1,2,1,3,5.0,2.0,1,6,1,2
1992,1.0,1,1,1,4,2.0,2.0,1,3,3,0
1992,1.0,2,1,2,4,3.0,3.0,1,3,3,2
1992,1.0,2,1,1,4,4.0,1.0,1,6,1,2
1992,1.0,2,2,1,1,1.0,3.0,1,5,5,0
1992,1.0,2,2,1,4,2.0,6.0,7,5,1,2
1992,1.0,2,1,2,2,4.0,1.0,1,6,7,2
1992,1.0,1,1,1,2,4.0,2.0,1,6,1,2
1992,1.0,2,2,1,2,2.0,3.0,1,3,2,1
1992,1.0,1,2,1,4,3.0,1.0,1,6,3,0
1992,1.0,1,2,1,4,4.0,6.0,7,5,1,2
1992,1.0,2,2,1,4,4.0,1.0,1,6,1,1
1992,1.0,3,2,5,3,2.0,6.0,7,2,1,0
1992,1.0,1,2,2,2,1.0,6.0,7,2,2,1
1992,1.0,2,2,1,2,5.0,1.0,1,6,1,2
1992,1.0,2,1,1,1,3.0,3.0,1,3,3,2
1992,1.0,2,1,2,3,1.0,4.0,6,3,1,0
1992,1.0,3,2,5,3,1.0,6.0,7,1,1,2
1992,1.0,1,1,1,4,3.0,1.0,1,5,1,2
1992,1.0,2,2,1,1,5.0,1.0,1,6,1,1
1992,1.0,3,2,1,4,1.0,3.0,1,2,5,1
1992,1.0,1,1,1,3,1.0,0.0,8,5,2,2
1992,1.0,1,1,1,4,4.0,1.0,1,5,1,1
1992,1.0,2,2,2,1,4.0,3.0,1,5,1,1
1992,1.0,2,1,1,2,3.0,3.0,1,6,1,2
1992,1.0,1,2,1,2,4.0,3.0,1,0,7,0
1992,1.0,1,2,1,2,3.0,1.0,1,6,1,1
1992,1.0,3,1,2,3,1.0,3.0,5,3,5,0
1992,1.0,3,1,1,2,5.0,2.0,5,6,1,2
1992,1.0,1,2,5,4,4.0,3.0,1,2,2,0
1992,1.0,2,1,2,4,1.0,4.0,6,2,5,0
1992,1.0,1,1,2,1,4.0,1.0,1,6,1,0
1992,1.0,1,1,1,1,3.0,1.0,1,6,1,2
1992,1.0,3,2,2,1,2.0,3.0,5,3,5,0
1992,1.0,1,2,1,3,3.0,1.0,1,6,2,1
1992,1.0,2,1,1,3,5.0,2.0,1,6,1,2
1992,1.0,1,1,1,4,4.0,2.0,1,3,1,1
1992,1.0,2,2,1,4,3.0,6.0,7,3,1,1
1992,1.0,2,2,1,1,4.0,6.0,7,3,1,1
1992,1.0,2,2,2,3,3.0,6.0,7,6,1,1
1992,1.0,3,2,1,1,0.0,3.0,5,2,5,0
1992,1.0,3,2,1,1,3.0,2.0,1,3,5,2
1992,1.0,1,2,4,2,3.0,2.0,1,5,4,0
1992,1.0,2,2,1,2,4.0,2.0,1,6,1,1
1992,1.0,1,2,1,3,4.0,2.0,1,6,1,1
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,2
1992,1.0,2,1,3,4,2.0,3.0,2,6,1,0
1992,1.0,1,2,1,4,3.0,6.0,7,5,1,0
1992,1.0,2,1,1,2,4.0,3.0,1,5,1,1
1992,1.0,1,2,1,2,3.0,2.0,1,3,2,0
1992,1.0,2,1,1,2,4.0,1.0,1,3,3,2
1992,1.0,2,1,1,2,4.0,1.0,1,3,1,0
1992,1.0,2,1,1,2,4.0,3.0,1,3,1,0
1992,1.0,3,2,1,2,2.0,6.0,7,3,5,0
1992,1.0,2,1,1,3,4.0,1.0,1,3,1,0
1992,1.0,2,2,1,3,4.0,2.0,1,0,2,0
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,1
1992,1.0,2,2,1,1,3.0,2.0,1,0,1,0
1992,1.0,1,2,1,3,4.0,0.0,8,5,1,0
1992,1.0,3,2,1,3,0.0,6.0,7,1,5,0
1992,1.0,2,2,1,2,4.0,3.0,1,6,1,0
1992,1.0,1,2,2,4,2.0,6.0,7,2,2,0
1992,1.0,3,1,1,3,4.0,2.0,5,5,1,1
1992,1.0,2,1,1,3,5.0,1.0,1,6,1,2
1992,1.0,2,2,1,3,3.0,2.0,1,5,3,1
1992,1.0,2,2,1,1,3.0,2.0,1,5,3,1
1992,1.0,1,2,1,1,4.0,1.0,1,6,7,2
1992,1.0,1,1,1,2,3.0,3.0,1,5,1,1
1992,1.0,2,1,1,2,3.0,1.0,1,6,2,1
1992,1.0,1,1,1,4,3.0,1.0,4,5,3,1
1992,1.0,1,1,1,4,3.0,3.0,1,3,7,0
1992,1.0,2,2,4,3,4.0,3.0,1,3,1,0
1992,1.0,2,1,1,3,5.0,1.0,1,6,1,0
1992,1.0,1,2,1,2,4.0,1.0,1,5,1,0
1992,1.0,2,1,1,3,4.0,3.0,1,6,1,0
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,2
1992,1.0,2,2,1,1,4.0,1.0,1,3,5,1
1992,1.0,1,1,2,1,3.0,3.0,1,3,1,0
1992,1.0,1,2,1,3,3.0,1.0,4,2,7,0
1992,1.0,1,2,1,2,3.0,2.0,4,3,2,1
1992,1.0,2,1,5,1,3.0,3.0,4,3,1,0
1992,1.0,1,2,1,3,1.0,0.0,8,6,4,0
1992,1.0,1,1,1,3,2.0,3.0,1,3,1,0
1992,1.0,3,2,1,2,0.0,3.0,5,2,5,2
1992,1.0,2,2,1,3,3.0,1.0,1,2,1,2
1992,1.0,2,2,5,4,0.0,6.0,7,3,4,0
1992,1.0,1,1,1,1,4.0,1.0,1,6,2,0
1992,1.0,3,2,1,2,2.0,3.0,5,3,5,0
1992,1.0,1,2,2,2,1.0,3.0,1,3,2,1
1992,1.0,2,2,1,2,3.0,1.0,1,6,1,2
1992,1.0,2,1,1,3,5.0,1.0,1,6,1,2
1992,1.0,2,2,1,3,5.0,1.0,1,6,1,2
1992,1.0,3,2,1,3,0.0,6.0,7,2,5,0
1992,1.0,1,1,1,4,5.0,1.0,1,5,1,0
1992,1.0,1,2,2,3,4.0,2.0,1,6,1,1
1992,1.0,2,2,1,2,4.0,6.0,7,6,1,2
1992,1.0,1,2,5,4,4.0,1.0,1,6,1,0
1992,1.0,1,2,5,4,3.0,0.0,8,6,1,0
1992,1.0,2,2,1,3,4.0,1.0,1,0,1,2
1992,1.0,2,1,1,2,4.0,1.0,1,6,1,2
1992,1.0,2,1,1,2,3.0,3.0,1,3,1,0
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,2
1992,1.0,1,1,1,4,0.0,2.0,1,0,1,1
1992,1.0,2,2,1,4,3.0,2.0,4,5,2,1
1992,1.0,2,2,1,4,4.0,6.0,7,5,1,1
1992,1.0,2,2,1,3,5.0,1.0,1,6,1,2
1992,1.0,2,2,1,4,4.0,2.0,6,3,1,0
1992,1.0,1,1,1,4,4.0,1.0,1,6,7,1
1992,1.0,2,1,1,4,3.0,1.0,1,6,3,0
1992,1.0,1,2,2,3,1.0,2.0,1,5,3,0
1992,1.0,2,1,5,1,4.0,3.0,1,2,1,0
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,1
1992,1.0,3,1,1,1,4.0,1.0,5,3,1,0
1992,1.0,1,2,1,1,2.0,2.0,1,3,2,0
1992,1.0,2,2,1,1,3.0,6.0,7,3,1,1
1992,1.0,2,2,1,3,3.0,2.0,5,5,1,1
1992,1.0,2,1,1,3,3.0,3.0,1,1,1,0
1992,1.0,2,2,1,3,0.0,1.0,1,5,3,0
1992,1.0,2,1,1,3,4.0,2.0,1,6,1,2
1992,1.0,2,2,1,4,3.0,1.0,1,3,2,1
1992,1.0,2,2,1,2,1.0,3.0,5,1,3,0
1992,1.0,1,1,1,3,4.0,5.0,1,5,1,0
1992,1.0,3,2,1,3,1.0,2.0,1,3,5,2
1992,1.0,1,2,2,1,2.0,1.0,4,5,2,0
1992,1.0,1,2,2,1,2.0,3.0,1,5,2,1
1992,1.0,1,1,1,4,4.0,3.0,2,1,3,0
1992,1.0,1,1,5,4,0.0,5.0,2,3,7,0
1992,1.0,2,2,1,3,4.0,2.0,1,6,7,1
1992,1.0,2,1,1,2,4.0,3.0,1,3,1,1
1992,1.0,2,1,1,3,4.0,1.0,1,3,1,0
1992,1.0,1,2,1,3,3.0,1.0,1,5,3,2
1992,1.0,1,2,2,3,1.0,6.0,7,2,3,0
1992,1.0,3,2,1,4,3.0,1.0,5,0,3,0
1992,1.0,2,1,1,1,4.0,1.0,4,3,1,1
1992,1.0,2,2,1,2,4.0,3.0,1,3,1,2
1992,1.0,2,2,1,3,4.0,6.0,7,2,1,0
1992,1.0,2,2,1,4,3.0,2.0,1,3,1,1
1992,1.0,2,2,5,3,5.0,1.0,1,6,1,0
1992,1.0,2,2,1,2,3.0,1.0,1,6,3,1
1992,1.0,1,2,1,2,4.0,2.0,1,0,7,0
1992,1.0,3,2,1,3,2.0,1.0,5,5,2,2
1992,1.0,2,2,1,2,4.0,3.0,1,3,1,0
1992,1.0,3,2,1,2,3.0,6.0,7,3,1,2
1992,1.0,2,1,1,2,4.0,1.0,1,3,1,2
1992,1.0,1,1,1,2,3.0,3.0,1,2,2,0
1992,1.0,1,2,1,2,3.0,3.0,1,3,1,2
1992,1.0,2,2,1,2,1.0,3.0,1,3,5,0
1992,1.0,3,1,1,1,4.0,1.0,5,3,1,0
1992,1.0,2,1,1,4,4.0,3.0,1,5,1,2
1992,1.0,2,2,1,4,4.0,2.0,1,6,7,1
1992,1.0,1,2,5,3,2.0,3.0,4,3,1,1
1992,1.0,3,1,2,2,0.0,3.0,5,1,1,0
1992,1.0,1,2,1,4,4.0,2.0,1,3,1,1
1992,1.0,2,1,4,3,4.0,1.0,1,3,1,0
1992,1.0,2,1,1,1,3.0,3.0,1,6,2,2
1992,1.0,3,2,1,2,2.0,6.0,7,3,5,0
1992,1.0,2,2,1,3,4.0,3.0,1,6,1,1
1992,1.0,2,1,5,3,4.0,5.0,1,3,1,2
1992,1.0,1,2,1,4,4.0,2.0,1,5,1,2
1992,1.0,1,2,2,3,1.0,6.0,7,2,2,0
1992,1.0,2,2,1,2,4.0,2.0,1,3,1,2
1992,1.0,1,2,1,2,4.0,1.0,1,6,1,0
1992,1.0,3,1,1,2,3.0,3.0,5,3,1,1
1992,1.0,1,1,1,1,4.0,3.0,1,3,1,1
1992,1.0,2,1,1,1,5.0,1.0,1,6,1,0
1992,1.0,1,2,5,2,2.0,0.0,8,5,2,1
1992,1.0,1,2,2,3,1.0,6.0,7,3,2,0
1992,1.0,3,1,1,3,0.0,3.0,5,1,5,0
1992,1.0,2,1,1,2,4.0,1.0,1,3,1,0
1992,1.0,1,1,1,2,0.0,2.0,1,5,2,2
1992,1.0,3,1,1,4,5.0,1.0,5,6,1,0
1992,1.0,2,2,1,4,4.0,0.0,8,0,1,1
1992,1.0,2,2,1,1,3.0,1.0,1,6,3,0
1992,1.0,2,2,1,3,4.0,1.0,5,3,5,0
1992,1.0,1,2,5,1,2.0,3.0,1,2,1,0
1992,1.0,2,2,1,3,5.0,2.0,1,5,1,0
1992,1.0,3,2,1,2,4.0,6.0,7,3,5,0
1992,1.0,2,2,1,2,2.0,3.0,1,3,3,1
1992,1.0,2,1,1,3,3.0,3.0,1,3,1,1
1992,1.0,2,2,1,1,4.0,1.0,1,5,3,1
1992,1.0,2,1,1,1,2.0,5.0,1,2,2,0
1992,1.0,3,1,5,4,2.0,4.0,5,3,1,1
1992,1.0,1,1,1,4,4.0,1.0,1,0,1,0
1992,1.0,1,2,5,4,3.0,2.0,1,6,1,2
1992,1.0,2,2,1,1,3.0,1.0,5,3,2,0
1992,1.0,1,1,2,3,3.0,0.0,1,3,1,0
1992,1.0,2,1,1,3,0.0,1.0,1,5,3,2
1992,1.0,1,1,1,3,5.0,1.0,1,3,1,0
1992,1.0,1,2,1,3,4.0,1.0,1,6,1,1
1992,1.0,2,2,1,2,1.0,2.0,1,3,3,0
1992,1.0,1,2,2,1,4.0,3.0,1,3,2,0
1992,1.0,2,1,1,1,4.0,3.0,1,3,1,0
1992,1.0,2,1,1,1,3.0,3.0,1,3,4,1
1992,1.0,2,1,2,1,0.0,3.0,6,3,1,0
1992,1.0,2,1,1,2,4.0,3.0,1,5,1,2
1992,1.0,1,1,1,1,5.0,3.0,1,3,2,0
1992,1.0,2,2,1,1,1.0,3.0,4,1,5,0
1992,1.0,1,2,1,1,3.0,6.0,7,3,1,0
1992,1.0,3,2,1,3,2.0,1.0,5,5,1,1
1992,1.0,1,2,5,3,3.0,6.0,7,3,1,1
1992,1.0,3,2,1,3,3.0,2.0,1,5,1,2
1992,1.0,2,1,1,3,4.0,3.0,1,3,1,2
1992,1.0,1,2,2,3,2.0,6.0,7,3,5,0
1992,1.0,2,1,1,3,1.0,3.0,4,6,3,1
1992,1.0,2,1,5,2,3.0,1.0,1,6,2,1
1992,1.0,2,2,1,2,2.0,2.0,5,3,3,2
1992,1.0,2,2,2,1,4.0,2.0,1,5,2,0
1992,1.0,1,2,2,1,3.0,2.0,4,6,2,0
1992,1.0,1,1,5,3,0.0,0.0,4,2,2,0
1992,1.0,3,2,1,4,4.0,1.0,5,5,1,0
1992,1.0,1,1,1,4,4.0,2.0,1,6,1,0
1992,1.0,2,2,1,1,5.0,3.0,1,3,2,1
1992,1.0,3,2,1,3,3.0,6.0,7,5,1,0
1992,1.0,1,1,1,3,3.0,3.0,1,3,1,2
1992,1.0,3,1,1,4,4.0,2.0,1,5,1,1
1992,1.0,3,1,1,1,2.0,1.0,1,3,5,0
1992,1.0,1,1,1,3,3.0,1.0,1,6,1,2
1992,1.0,1,2,1,2,2.0,1.0,1,5,2,0
1992,1.0,2,2,1,2,0.0,1.0,5,6,1,2
1992,1.0,2,1,1,2,4.0,2.0,1,6,1,2
1992,1.0,2,2,1,3,2.0,3.0,1,5,1,1
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,0
1992,1.0,2,1,1,3,5.0,1.0,1,6,2,2
1992,1.0,2,2,1,3,1.0,3.0,6,1,3,1
1992,1.0,1,1,1,3,3.0,1.0,1,6,1,0
1992,1.0,2,2,1,1,2.0,3.0,1,3,1,0
1992,1.0,1,1,1,3,2.0,0.0,8,5,2,0
1992,1.0,2,1,1,2,2.0,5.0,1,2,1,0
1992,1.0,2,1,1,2,3.0,3.0,1,5,2,2
1992,1.0,2,1,1,4,3.0,1.0,1,6,1,0
1992,1.0,2,2,1,1,0.0,6.0,7,5,5,0
1992,1.0,2,2,5,4,3.0,2.0,1,3,3,0
1992,1.0,2,1,1,3,4.0,1.0,1,6,1,2
1992,1.0,3,1,5,4,0.0,1.0,5,5,1,0
1992,1.0,2,2,1,1,4.0,1.0,1,6,1,1
1992,1.0,1,2,1,2,3.0,3.0,1,2,1,0
